ID,PubchemFP697,PubchemFP362,maxssssC,PubchemFP314,C1SP3,ASP-6,PubchemFP443,nN,piPC8,PubchemFP380,SpMin4_Bhe,GATS7v,PubchemFP824,PubchemFP549,AATS0v,PubchemFP680,SdsCH,AATSC4m,BCUTw-1l,VC-3,Class
840,0,0,0,0,6,0.0664,0,3,1.3863,0,1.0669,0.5998,0,0,157.4046,0,0,-2.6029,11.89,0.4743,Positive
848,0,0,0,0,4,0.0607,0,5,4.5708,0,1.0535,1.44,0,0,192.2945,0,0,12.8285,11.89,0.5111,Negative
852,0,0,0,0,4,0.0695,1,0,1.6094,1,0.8462,1.1876,0,0,212.4829,0,1.1992,2.1218,11.9985,0.2534,Negative
862,0,0,0,0,2,0.0674,1,0,3.8937,1,0.8113,1.1511,0,0,216.8937,1,0,-4.6746,11.9963,0.1784,Positive
872,0,0,0,0,2,0.0687,1,0,3.6628,0,0.7769,0.8841,1,0,216.8937,1,0.7103,-8.1597,11.85,0.2197,Positive
875,0,0,0.032,0,5,0.0479,0,1,5.8212,0,1.232,0.9696,0,1,199.4152,1,2.255,1.1537,11.89,1.1841,Negative
876,0,0,0,0,2,0.0821,0,0,2.7842,0,0.7708,0.6711,0,0,206.0718,1,0,-9.2727,11.89,0.068,Positive
881,0,0,0,0,8,0.1006,0,0,1.6094,0,1.0986,1.3385,0,0,160.4402,0,0,-0.8692,11.89,0,Positive
884,0,1,0,1,2,0.0512,0,0,5.6537,0,1.1717,1.137,0,0,271.7456,1,0,-16.2995,11.999,1.6917,Negative
886,0,1,0,1,4,0.0532,0,1,4.9512,0,1.1036,1.0509,0,1,267.294,1,0,-37.6533,11.9985,1.4126,Negative
887,0,0,0,1,4,0.061,0,2,5.2637,0,1.303,1.0398,0,0,231.7004,0,0,-26.9199,11.85,1.0521,Negative
910,0,0,0,0,1,0.0752,0,0,0,0,0.4189,0,0,0,277.2708,0,0,-15.744,11.9986,0.4674,Positive
916,1,0,0.9682,0,0,0.026,0,0,6.0707,0,1.2556,2.7032,0,0,317.4478,1,0,34.2703,11.9985,2.914,Negative
921,0,0,0,0,0,0.0461,0,0,0,0,0.0311,0,0,0,374.9232,0,0,-9.1489,11.9986,2.108,Negative
925,0,1,0,0,0,0.0461,0,0,0,0,0.5451,0,0,0,463.7439,0,0,0,11.9986,0.8504,Negative
934,0,1,0,0,0,0.0445,0,0,6.7972,0,0.851,1.3642,1,0,347.9638,1,0,-25.6122,11.9985,0.8904,Negative
935,0,1,0,0,0,0.0576,1,0,5.2321,1,1.0182,0.8329,0,0,321.3281,1,0,5.8373,11.9985,0.933,Negative
936,0,1,0.8254,0,1,0.0638,0,0,3.1689,0,0.4126,0,0,0,371.8483,0,0,-9.8499,11.9986,2.118,Negative
938,0,1,0,0,0,0.0736,0,1,3.8408,0,0.6838,0.4206,0,0,270.1202,0,0,-6.1258,11.9985,0.3068,Negative
939,1,1,0.7303,0,1,0.0483,0,0,5.942,0,0.7986,0.7288,0,0,311.7445,0,0,0.0665,11.9985,2.485,Negative
943,0,1,0,0,0,0.0681,0,1,4.4067,0,0.587,0.711,0,1,323.2512,0,0,-35.5117,11.9986,0.4019,Negative
950,0,1,0,0,1,0.0733,0,0,4.1322,1,0.7986,0.93,0,0,294.4463,1,0,-56.7814,11.9985,0.257,Negative
952,1,1,0,0,0,0.0439,1,0,7.1536,1,0.7391,0.5557,0,0,326.8406,1,0,-4.1562,11.9985,0.68,Negative
960,0,1,0,0,0,0.0596,0,0,6.0187,0,0.6281,0,0,0,275.3737,0,0,-8.858,11.9985,0.3192,Negative
963,0,1,0,0,0,0.0783,0,1,3.1689,0,0.41,0,0,0,295.0953,0,0,-17.1992,11.9986,0.2358,Negative
965,0,1,0,0,0,0.0783,1,0,2.7842,0,0.3977,0,0,0,274.3142,0,0.9113,-20.5573,11.9986,0.247,Negative
969,0,1,0,0,0,0.06,0,2,5.2381,0,0.801,1.066,0,1,264.9081,0,0,-21.1504,11.9985,0.4717,Negative
975,0,0,0,1,6,0.0503,0,0,2.5649,0,1.0714,1.1299,0,0,250.4021,0,0,-4.4575,11.9985,0.5362,Negative
982,0,1,0,0,1,0.0715,0,0,0,0,0.4187,0,0,0,308.7967,0,0,-26.6723,11.9986,0.4452,Negative
995,0,0,0,0,6,0.1067,0,0,1.0986,0,0.4328,1.0817,0,0,197.9468,0,0,9.832,11.9986,0,Negative
997,0,1,0,0,0,0.0482,0,1,6.3515,0,0.894,1.1759,0,1,314.9519,1,0,7.5334,11.9985,1.1271,Negative
1000,0,0,0,0,1,0.0679,0,0,4.343,0,0.7946,1.3084,0,0,261.9852,0,0,11.261,11.999,0.7063,Positive
1002,0,0,0,0,1,0.0653,1,1,3.8408,0,0.7986,0.6535,0,1,209.6945,0,0,-12.7641,11.89,0.2776,Negative
1003,1,0,0,0,8,0.0399,1,6,7.169,0,1.606,1.5388,0,1,250.9602,0,0,256.4931,11.9989,3.7133,Negative
1008,0,1,0,0,0,0.0587,0,2,4.5591,0,0.801,0.9411,0,1,243.0604,0,0,-4.5814,11.9935,0.6799,Negative
1011,0,0,0,0,0,0.0759,0,2,0,0,0.7603,1.4592,0,0,241.1602,0,0,-60.5109,11.9971,1.0278,Negative
1046,0,0,0,1,1,0.085,1,1,0,0,0.978,1.0613,0,0,215.5587,0,0,-71.9473,11.999,2.2631,Negative
1050,0,0,0,0,1,0.0692,0,1,4.2749,1,0.8477,1.0307,0,0,209.9856,1,0,-3.1472,11.9935,0.2764,Negative
